requestedUrl
'https://access.duke.edu/'
'https://accessibility.duke.edu/'
'https://admissions.duke.edu/'
'https://calendar.duke.edu/'
'https://commencement.duke.edu/'
'https://duke.edu/'
'https://dukecard.duke.edu/'
'https://dukehealth.org/'
'https://emergency.duke.edu/'
'https://facilities.duke.edu/'
'https://financialaid.duke.edu/'
'https://hr.duke.edu/'
'https://inclusive.duke.edu/'
'https://joelhsmith.github.io/debug-examples/lh-tests/'
'https://oarc.duke.edu/'
'https://oie.duke.edu/'
'https://oit.duke.edu/'
'https://police.duke.edu/'
'https://publicaffairs.duke.edu/'
'https://registrar.duke.edu/'
'https://security.duke.edu/'
'https://services.duke.edu/transportation'
'https://software.duke.edu/'
'https://studentaffairs.duke.edu/'
'https://styleguide.duke.edu/'
'https://today.duke.edu/'
'https://web.accessibility.duke.edu/'
'https://web.accessibility.duke.edu/failure-examples'
'https://webservices.duke.edu/'
